Name Raw,Name,Population,Weekly Household Equivalised Income,Product,Multiple of Average,GDP/head,Airports,States,Countries,Fractions
21450: Cardinia,Cardinia,123104,1060,130490240,0.97,64.67,Melbourne,VIC,Australia,1
51470: Carnamah,Carnamah,572,833,476476,0.76,50.82,Geraldton,WA,Australia,1
51540: Carnarvon,Carnarvon,5518,957,5280726,0.87,58.38,Carnavon,WA,Australia,1
32250: Carpentaria,Carpentaria,2171,937,2034227,0.85,57.16,Normanton,QLD,Australia,1
11600: Carrathool,Carrathool,2829,981,2775249,0.89,59.85,Griffith,NSW,Australia,1
21610: Casey,Casey,378831,1030,390195930,0.94,62.84,Melbourne,VIC,Australia,1
32260: Cassowary Coast,Cassowary Coast,29605,783,23180715,0.71,47.77,"Cairns,Townsville",QLD,Australia,"0.6,0.4"
41010: Ceduna,Ceduna,3651,928,3388128,0.85,56.62,Ceduna,SA,Australia,1
11650: Central Coast (NSW),Central Coast (NSW),349173,947,330666831,0.86,57.77,"Sydney,Newcastle",NSW,Australia,"0.7,0.3"
60810: Central Coast (Tas.),Central Coast (Tas.),23345,780,18209100,0.71,47.59,Launceston,TAS,Australia,1
11700: Central Darling,Central Darling,1749,651,1138599,0.59,39.72,Broken Hill,NSW,Australia,1
70620: Central Desert,Central Desert,4107,435,1786545,0.40,26.54,Alice Springs,NT,Australia,1
21670: Central Goldfields,Central Goldfields,13516,615,8312340,0.56,37.52,"Bendigo,Ballarat",VIC,Australia,"0.5,0.5"
32270: Central Highlands (Qld),Central Highlands (Qld),28530,1276,36404280,1.16,77.85,Emerald,QLD,Australia,1
61010: Central Highlands (Tas.),Central Highlands (Tas.),2586,683,1766238,0.62,41.67,Hobart,TAS,Australia,1
11720: Cessnock,Cessnock,65878,917,60410126,0.83,55.94,Newcastle,NSW,Australia,1
51610: Chapman Valley,Chapman Valley,1636,1188,1943568,1.08,72.48,Geraldton,WA,Australia,1
41060: Charles Sturt,Charles Sturt,124864,1021,127486144,0.93,62.29,Adelaide,NSW,Australia,1
32310: Charters Towers,Charters Towers,11981,856,10255736,0.78,52.22,"Townsville,Hughenden",QLD,Australia,"0.8,0.2"
32330: Cherbourg,Cherbourg,1228,452,555056,0.41,27.58,Sunshine Coast,QLD,Australia,1
51680: Chittering,Chittering,6296,1157,7284472,1.05,70.59,Perth,WA,Australia,1
51710: Christmas Island,Christmas Island,1787,1407,2514309,1.28,85.84,Christmas Island,,Australia,1
61210: Circular Head,Circular Head,8367,832,6961344,0.76,50.76,Launceston,TAS,Australia,1
41140: Clare and Gilbert Valleys,Clare and Gilbert Valleys,9383,865,8116295,0.79,52.77,Adelaide,SA,Australia,1
51750: Claremont,Claremont,11718,1583,18549594,1.44,96.58,Perth,WA,Australia,1
61410: Clarence,Clarence,63086,1018,64221548,0.93,62.11,Hobart,TAS,Australia,1
11730: Clarence Valley,Clarence Valley,54662,729,39848598,0.66,44.47,"Coffs Harbour,Ballina",NSW,Australia,"0.8,0.2"
41190: Cleve,Cleve,1765,790,1394350,0.72,48.20,Port Lincoln,SA,Australia,1
32450: Cloncurry,Cloncurry,3789,1230,4660470,1.12,75.04,Mount Isa,QLD,Australia,1
11750: Cobar,Cobar,4046,1155,4673130,1.05,70.46,Cobar,NSW,Australia,1
